name,wins,losses,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,lightweight,welterweight,middleweight,light-heavyweight,wins_to_losses_ratio
Doug Marshall,18,8,0.8974358974358975,1.0,0.9077178278330714,Orthodox,6.99,46.0,4.02,60.0,0.0,0.0,66.0,2.4,0,0,0,1,2.25
Mark Weir,21,18,0.9487179487179488,0.9023550919453704,0.9077178278330714,Southpaw,1.54,56.0,2.5,38.0,0.8,50.0,25.0,2.4,0,0,0,1,1.1666666666666667
Shane del Rosario,11,2,0.8539325842696629,0.3246771838405818,0.896911663216011,Southpaw,3.93,60.0,2.97,54.0,1.2,40.0,16.0,2.4,0,0,0,0,5.5
Juan Espino,11,2,0.8426966292134831,0.3311764537463853,0.9523809523809522,Orthodox,2.38,70.0,1.95,40.0,8.93,78.0,50.0,2.4,0,0,0,0,5.5
Jason Lambert,26,13,0.9615384615384616,0.9023550919453704,0.9036144578313253,Orthodox,3.21,58.0,1.84,50.0,1.35,36.0,28.0,2.4,0,0,0,1,2.0
Paddy Pimblett,20,3,0.9210526315789475,0.9227034120734908,0.9125,Orthodox,4.19,46.0,3.48,41.0,0.97,25.0,56.0,2.4,0,1,0,0,6.666666666666667
Rob Kimmons,25,9,0.8974358974358975,0.9023550919453704,0.8795180722891566,Orthodox,1.86,48.0,4.79,38.0,2.08,46.0,25.0,2.4,0,0,0,1,2.7777777777777777
Hermes Franca,24,17,0.8684210526315789,0.9227034120734908,0.8875000000000001,Orthodox,1.78,39.0,2.85,55.0,1.53,36.0,37.0,2.4,0,1,0,0,1.411764705882353
Cesar Arzamendia,8,3,0.9342105263157895,0.9227034120734908,0.8944944598337952,Orthodox,5.37,45.0,5.2,56.0,7.32,75.0,0.0,2.4,0,1,0,0,2.6666666666666665
Antonio Rodrigo Nogueira,34,10,0.8426966292134831,0.3116786440289747,0.9166666666666666,Orthodox,1.95,42.0,2.4,55.0,1.3,29.0,36.0,2.4,0,0,0,0,3.4
Chris Lytle,31,18,0.922077922077922,0.9289242259968677,0.8395061728395061,Orthodox,3.76,45.0,3.03,58.0,0.7,55.0,55.0,2.4,0,0,1,0,1.7222222222222223
Ramiz Brahimaj,10,4,0.9090909090909091,0.9289242259968677,0.8888888888888888,Orthodox,2.47,41.0,4.08,50.0,1.9,66.0,58.0,2.4,0,0,1,0,2.5
Eugene Jackson,15,9,0.8717948717948718,0.9023550919453704,0.9077178278330714,Orthodox,2.19,33.0,3.44,32.0,1.91,71.0,16.0,2.3,0,0,0,1,1.6666666666666667
Joe Doerksen,51,16,0.923076923076923,0.9023550919453704,0.9036144578313253,Orthodox,1.43,42.0,2.79,50.0,2.02,33.0,33.0,2.3,0,0,0,1,3.1875
Wes Sims,24,14,0.9213483146067416,0.3376470925072294,0.896911663216011,Orthodox,0.98,51.0,2.95,37.0,0.0,0.0,40.0,2.3,0,0,0,0,1.7142857142857142
Mats Nilsson,11,4,0.9480519480519479,0.9289242259968677,0.9077441077441077,Orthodox,2.99,39.0,5.62,63.0,3.87,83.0,44.0,2.3,0,0,1,0,2.75
